StudentID,StudentName,Gender,Department,Python,SQL,Statistics,ExamDate
STU150,Nikhil Patel,Female,Computer Science,55.0,39.0,98.0,2024-03-09
STU136,Rekha Joshi,Female,Mechanical,83.0,94.0,48.0,2024-03-31
STU102,Sanjay Chauhan,Male,Computer Science,95.0,66.0,60.0,2024-03-11
STU141,Rahul Patel,Male,Data Science,62.0,66.0,79.0,
STU101,Ananya Verma,Female,Data Science,44.0,60.0,61.0,2024-03-22
STU123,Ishaan Iyer,Female,Mechanical,57.0,64.0,67.0,2024-03-31
STU126,Vivaan Joshi,Female,Information Technology,59.0,43.0,76.0,2024-03-07
STU132,Zoya Iyer,Male,Electronics,57.0,97.0,71.0,2024-03-23
STU146,Harsha Desai,Male,Data Science,94.0,37.0,71.0,2024-03-03
STU133,Riya Bhatt,Male,Electronics,68.0,66.0,96.0,2024-03-30
STU129,Sneha Joshi,Female,Electronics,44.0,63.0,38.0,2024-03-02
STU147,Kavya Bose,Male,Data Science,42.0,98.0,97.0,2024-03-16
STU140,Amit Bose,Female,Mechanical,70.0,57.0,84.0,2024-03-20
STU117,Priya Sharma,Female,Mechanical,76.0,66.0,71.0,2024-03-09
STU113,Suresh Reddy,Male,Electronics,41.0,67.0,52.0,2024-03-31
STU138,Lakshmi Iyer,Male,Information Technology,67.0,66.0,60.0,
STU112,Akhil Bose,Male,Data Science,85.0,43.0,78.0,2024-03-21
STU118,Vikram Pillai,Male,Data Science,53.0,47.0,85.0,2024-04-03
STU134,Sunita Malhotra,Female,Information Technology,83.0,35.0,55.0,2024-03-11
STU148,Reyansh Das,Male,Information Technology,54.0,80.0,71.0,2024-10-03
STU124,Naveen Bhatt,Female,Computer Science,66.0,84.0,54.0,2024-10-03
STU107,Manoj Bhatt,Female,Data Science,58.5,56.0,43.0,2024-03-30
STU103,Varun Reddy,Female,Information Technology,81.0,92.0,84.0,2024-03-11
STU131,Deepak Singh,Female,Electronics,76.0,97.0,64.0,2024-03-21
STU149,Rohan Sharma,Male,Computer Science,58.0,47.0,59.0,2024-03-12
STU108,Saanvi Rao,Female,Information Technology,55.0,39.0,71.0,2024-03-14
STU144,Karthik Kapoor,Female,Computer Science,82.0,56.0,52.0,2024-03-19
STU143,Swati Kapoor,Male,Computer Science,58.5,47.0,74.0,2024-07-03
STU105,Yash Malhotra,Male,Electronics,58.5,63.0,75.0,2024-03-18
STU145,Tanvi Bose,Male,Information Technology,59.0,88.0,86.0,2024-03-29
STU139,Aditya Bhatt,Female,Electronics,55.0,85.0,94.0,2024-03-13
STU125,Neha Kumar,Female,Mechanical,47.0,42.0,76.0,2024-03-31
STU137,Sai Rao,Female,Data Science,77.0,82.0,59.0,2024-03-09
STU115,Aarav Menon,Female,Electronics,96.0,74.0,52.0,2024-03-18
STU119,Arjun Rao,Male,Electronics,53.0,44.0,50.0,2024-03-21
STU135,Vihaan Gupta,Female,Electronics,53.0,46.0,57.0,2024-03-03
STU130,Myra Bose,Male,Data Science,58.5,86.0,89.0,2024-03-15
STU116,Gita Chauhan,Female,Data Science,36.0,83.0,51.0,2024-03-31
STU110,Kiran Singh,Male,Mechanical,58.5,91.0,87.0,2024-03-25
STU114,Anika Joshi,Female,Computer Science,62.0,81.0,54.0,2024-03-29
STU128,Anil Iyer,Female,Mechanical,37.0,91.0,95.0,2024-03-17
STU111,Diya Malhotra,Male,Information Technology,41.0,68.0,72.0,2024-03-02
STU122,Divya Desai,Male,Mechanical,42.0,36.0,84.0,2024-03-15
STU120,Ravi Kumar,Male,Information Technology,76.0,85.0,98.0,2024-03-29
STU109,Nisha Rao,Male,Information Technology,97.0,83.0,66.0,2024-03-30
STU127,Isha Menon,Male,Information Technology,88.0,48.0,44.0,2024-03-21
STU106,Meera Bhatt,Male,Data Science,56.0,79.0,77.0,2024-03-12
STU142,Aadhya Menon,Male,Computer Science,40.0,66.0,91.0,2024-03-23
STU121,Pooja Singh,Male,Data Science,58.0,83.0,60.0,2024-03-23
STU104,Farhan Malhotra,Female,Information Technology,38.0,66.0,55.0,2024-03-23
